"Like","Neutral","Unlike","Unlike","Like","Unlike","Unlike","Like","Neutral","Like","Neutral","Like","Like","Like","Like","Unlike","Like","Neutral","Like","Like","Neutral","Unlike","Like","Like","Like","Like","Like","Neutral","Neutral","Like","NA","NA","NA","NA","NA","propaganda by the Chinese","NA","NA","NA","NA","NA","NA","exactly what is says","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","C7","C4","C2","C3","C5","C1","C2","C6","C4","C7","C3","C8","C9","C7","C8","C3","C6","C4","C6","C5","C5","C3","C7","C6","C5","C6","C5","C4","C4","C5","12.3422629833221","0.0156519412994385","126.514309167862","42.9264152050018","147.703432798386","2","0","FALSE","FALSE","NA","NA","30","0","1","1","1458516","4711554","2020-02-25 16:38:39"
"Neutral","Unlike","Unlike","Neutral","Unlike","Unlike","Unlike","Like","Like","Like","Neutral","Like","Neutral","Like","Unlike","Unlike","Neutral","Unlike","Like","Like","Like","Unlike","Neutral","Neutral","Like","Neutral","Like","Neutral","Unlike","Like","NA","NA","They view is perpetrated by big business as complying with clear fuel etc policies will affect the bottom line","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Instead of political point scoring and the head in the sand attitude of all parties, all sides should be cooperating and trying to find solutions and exploring alternative fuels eg nuclear","C5","C4","C1","C3","C4","C5","C5","C7","C6","C6","C2","C6","C5","C5","C5","C4","C4","C3","C6","C7","C7","C4","C3","C7","C8","C6","C8","C2","C3","C9","22.1846151351929","0","216.088337898254","214.249511957169","286.865926980972","2","0","FALSE","FALSE","NA","NA","42","0","2","2","1097158","2191516","2020-02-25 16:33:05"
"Like","Neutral","Unlike","Neutral","Unlike","Neutral","Neutral","Like","Like","Like","Like","Like","Like","Neutral","Like","Neutral","Like","Neutral","Like","Neutral","Like","Like","Like","Like","Neutral","Like","Unlike","Neutral","Like","Like","it is important because we need someone who cares about our environment and out health","NA","its false","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","C9","C2","C1","C5","C2","C6","C3","C8","C7","C7","C7","C6","C8","C4","C6","C4","C6","C3","C6","C4","C5","C5","C7","C5","C3","C5","C5","C3","C4","C4","5.89665985107422","0.0312278270721436","129.074867010117","61.5742070674896","157.606872081757","1","0","FALSE","FALSE","NA","NA","32","0","0","0","3519806","4331087","2020-02-25 16:39:58"
"Like","Unlike","Unlike","Neutral","Neutral","Neutral","Neutral","Like","Like","Like","Like","Like","Neutral","Like","Like","Neutral","Like","Unlike","Like","Like","Like","Neutral","Like","Like","Like","Unlike","Like","Unlike","Neutral","Like","NA","NA","Climate change is not a hoax - some of the worlds most eminent scientists and organisations agree that climate change is occurring","NA","NA","NA","NA","NA","NA","NA","NA","the Great Barrier Reef is changing & you can see the deteriation if you look at photos today as opposed to photos years ago","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","C6","C3","C1","C5","C4","C3","C5","C7","C5","C5","C8","C9","C3","C6","C8","C4","C7","C2","C7","C7","C6","C4","C6","C5","C6","C4","C3","C2","C4","C5","14.5019929409027","0.0156259536743164","128.727682113647","149.361857891083","225.480560064316","1","0","FALSE","FALSE","NA","NA","38","0","2","2","3106413","7513443","2020-02-25 16:40:18"
"Like","Unlike","Unlike","Neutral","Neutral","Neutral","Neutral","Like","Like","Neutral","Neutral","Like","Neutral","Like","Like","Unlike","Like","Unlike","Like","Like","Like","Like","Like","Like","Like","Like","Neutral","Like","Like","Like","NA","NA","only a fool would agree with this......are they blind?","NA","NA","NA","NA","technology is to blame","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","C8","C5","C1","C4","C3","C4","C3","C9","C8","C4","C2","C7","C3","C7","C7","C3","C7","C2","C5","C6","C5","C6","C5","C6","C6","C5","C4","C4","C5","C6","5.51297283172607","0.0156130790710449","143.452183008194","53.6212680339813","216.330811023712","8","0","FALSE","FALSE","NA","NA","31","0","2","1","9908934","6719794","2020-02-25 16:42:57"
"Like","Neutral","Unlike","Unlike","Like","Unlike","Unlike","Unlike","Unlike","Like","Neutral","Like","Like","Like","Like","Unlike","Like","Unlike","Like","Neutral","Like","Neutral","Like","Neutral","Like","Neutral","Like","Like","Unlike","Like","NA","NA","NA","NA","NA"," have not heard this before but i think that global warming would be something that all should be worried about not just between china and usa ","NA","NA","NA","NA","NA","my understanding is the water is getting hotter which is effecting the reef","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","C7","C3","C2","C5","C3","C1","C2","C6","C5","C5","C5","C9","C8","C4","C8","C5","C7","C3","C7","C4","C6","C4","C5","C4","C6","C4","C6","C6","C3","C7","49.5293009281158","0.0156030654907227","889.988716125488","212.164604902267","460.023274898529","2","0","FALSE","FALSE","NA","NA","37","2","2","2","5545111","9995114","2020-02-25 16:23:05"
"Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","NA","NA","NA","NA","not sure","NA","NA","NA","no idea","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","C5","C6","C7","C8","C9","C4","C3","C2","C1","C3","C4","C5","C6","C7","C8","C4","C3","C5","C6","C6","C5","C5","C5","C6","C4","C4","C3","C7","C7","C2","2.80423712730408","0.015632152557373","12.1958959102631","11.8431179523468","75.0909759998322","2","0","FALSE","FALSE","NA","NA","30","0","0","0","3325646","4951469","2020-02-25 16:49:37"
"Unlike","Like","Like","Neutral","Like","Neutral","Neutral","Unlike","Unlike","Unlike","Unlike","Unlike","Unlike","Unlike","Unlike","Neutral","Unlike","Like","Unlike","Unlike","Unlike","Unlike","Unlike","Unlike","Unlike","Unlike","Unlike","Unlike","Neutral","Unlike","I don&rsquo;t think we should be doing anything about climate change, so I definitely don&rsquo;t want leaders who waste money on that.","NA","NA","NA","I don&rsquo;t believe in climate change at all, and over time they seemed to have changed the name from Global Warming to Climate Change as the weather was different.","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","C1","C8","C7","C6","C9","C7","C6","C2","C5","C2","C3","C3","C3","C3","C4","C8","C4","C7","C5","C5","C4","C4","C6","C6","C5","C4","C6","C5","C7","C5","7.67295813560486","0.0156300067901611","134.459398984909","74.3066329956055","281.604558944702","1","0","FALSE","FALSE","NA","NA","46","0","6","6","2331781","9576432","2020-02-25 16:43:44"
"Like","Unlike","Unlike","Like","Unlike","Unlike","Unlike","Like","Like","Like","Like","Like","Like","Like","Like","Unlike","Like","Unlike","Like","Like","Like","Unlike","Like","Like","Like","Like","Like","Like","Like","Like","NA","we can see by the evidence that the scientists predictions about clime change are coming true","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","the original predictions of scientists did not foresee the pace of climate change proceeding as dfast ash it has","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","C4","C1","C2","C6","C2","C3","C3","C8","C6","C5","C5","C7","C9","C6","C7","C3","C8","C3","C5","C5","C5","C6","C7","C7","C6","C5","C4","C4","C4","C4","28.6828398704529","0.0156240463256836","218.16127705574","124.42906999588","332.362570047379","4","1","TRUE","TRUE","NA","NA","52","0","9","6","2184163","7374610","2020-02-25 16:42:26"
"Like","Like","Neutral","Unlike","Neutral","Like","Like","Like","Neutral","Like","Like","Unlike","Like","Like","Like","Like","Neutral","Neutral","Unlike","Neutral","Neutral","Neutral","Like","Like","Unlike","Neutral","Neutral","Neutral","Unlike","Neutral","NA","NA","NA","NA","NA","Chinese menus sting ","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Works did ","NA","NA","NA","NA","NA","C5","C2","C6","C6","C5","C9","C8","C3","C5","C2","C3","C4","C4","C7","C6","C5","C6","C7","C3","C3","C4","C7","C4","C8","C1","C5","C5","C6","C7","C4","145.30818605423","0.0156280994415283","14.5848348140717","17.4725940227509","54.5623960494995","2","0","FALSE","FALSE","NA","NA","31","0","0","0","1151207","3511027","2020-02-25 16:50:30"
"Unlike","Neutral","Unlike","Like","Like","Unlike","Unlike","Unlike","Neutral","Unlike","Like","Unlike","Unlike","Unlike","Unlike","Neutral","Unlike","Like","Like","Like","Like","Like","Like","Like","Like","Like","Neutral","Unlike","Like","Unlike","NA","NA","NA","NA","NA","they have an insatiable thirst for motorcycle vehicle pollution that are poorly tuned","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","climate has been changing fo a billion years","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","C5","C4","C5","C7","C8","C1","C2","C5","C4","C5","C6","C3","C5","C4","C4","C4","C2","C9","C8","C7","C7","C7","C6","C6","C6","C6","C3","C3","C5","C3","40.366956949234","0.015625","692.564496040344","185.294141054153","339.873077869415","1","0","FALSE","FALSE","NA","NA","30","0","0","0","6962848","2136282","2020-02-25 16:33:47"
